Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros,Total_x,Banda ancha fija,Dial up,Total_y
2023,1,Chubut,26.32,85.89,18.36,1090,1598,45794,30947,25072,177,28259,20574,170053,169149,904.0,170053
2023,1,Córdoba,27.2,88.84,109.57,990,8844,131774,103063,57176,2496,690566,3349,1049972,1049904,68.0,1049972
2023,1,Corrientes,13.71,52.05,94.8,670,3074,22517,2342,6349,4601,88008,8984,157020,157016,4.0,157020
2023,1,Entre Ríos,19.37,64.79,86.71,1070,4525,41215,51664,20667,2268,134020,0,274878,274856,22.0,274878
2023,1,Formosa,9.87,38.79,73.96,840,1920,22016,11922,6229,2730,19567,7020,60985,60985,0.0,60985
2023,1,Jujuy,14.88,58.2,42.75,580,1598,16842,12856,29386,3060,54859,2076,117981,117981,0.0,117981
2023,1,La Pampa,31.81,96.55,20.09,680,1399,50313,1151,10525,4423,21308,16958,116504,116333,171.0,116504
2023,1,La Rioja,21.23,79.74,63.13,180,5020,1892,247,24551,4949,52023,0,86405,86401,4.0,86405
2023,1,Mendoza,14.34,51.4,41.45,1030,2945,32767,20813,30657,15046,169502,21186,293019,292242,777.0,293019
2023,1,Misiones,14.7,53.97,89.81,510,3448,34762,21817,11881,3881,106601,8244,190685,190685,0.0,190685
2023,1,Neuquén,23.38,78.55,93.42,1680,9860,38414,13933,13192,6195,85257,2267,160412,159944,468.0,160412
2023,1,Río Negro,21.27,69.16,74.4,1110,1076,29515,15171,18697,12079,57910,29772,164331,163783,548.0,164331
2023,1,Salta,13.97,57.67,76.85,1140,1096,30564,69436,4822,1040,92512,6778,205426,205421,5.0,205426
2023,1,San Juan,12.67,49.75,18.7,240,202,30051,11221,14799,10268,21544,1184,101767,101486,281.0,101767
2023,1,San Luis,25.8,90.17,55.85,600,6240,11680,24133,13659,75904,6050,3353,135463,135281,182.0,135463
2023,1,Santa Cruz,12.92,43.42,14.98,510,681,11528,1138,9861,3697,5990,1044,50361,50163,198.0,50361
2023,1,Santa Fe,24.57,78.13,92.22,4680,7655,98198,180708,75061,26306,479777,18101,886274,886164,110.0,886274
2023,1,Santiago Del Estero,11.8,47.55,36.27,1780,1186,21551,57189,21277,7340,15447,9930,118555,118553,2.0,118555
2023,1,Tierra Del Fuego,30.9,104.23,14.58,220,8310,10944,13048,21348,3959,2386,4575,57113,56801,312.0,57113
2023,1,Tucumán,14.95,60.34,95.79,390,1237,23379,29629,25565,1723,164402,15126,261100,261070,30.0,261100
2022,4,Buenos Aires,26.72,78.94,111.0,28934,23347,259866,28155,244555,9867,3760109,97634,4794665,4788466,6.199,4794665
2022,4,Capital Federal,50.35,122.73,182.86,5160,5096,31320,64653,36336,8116,1299117,106772,1551926,1549781,2.145,1551926
2022,4,Catamarca,16.73,65.77,83.33,710,3150,2716,5028,4638,3122,52739,228,70909,70908,1.0,70909
2022,4,Chaco,11.66,43.62,104.02,4610,7710,16067,17846,6704,3039,94866,3909,143663,143658,5.0,143663
