Provincia,Partido,Localidad,Link Indec,ADSL,Cablemodem,Dail Up,Fibra Optica,Otros1,Satelital,Wimax,Wireless,Total general,Otros,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps
Buenos Aires,Trenque Lauquen,Girodias,6826020,47.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Buenos Aires,Trenque Lauquen,La Carreta,6826030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Buenos Aires,Trenque Lauquen,Trongé,6826060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Buenos Aires,Trenque Lauquen,Berutti,6826010,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,282.0,,,,,,,,
Buenos Aires,Tres Arroyos,Claromecó,6833020,228.0,0.0,0.0,786.0,0.0,0.0,0.0,1167.0,2181.0,1.0,0.0,0.0,228.0,862.0,967.0,122.0,1.0
Buenos Aires,Tres Arroyos,Copetonas,6833030,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0,90.0,,0.0,0.0,1.0,88.0,0.0,1.0,0.0
Buenos Aires,Tres Arroyos,Lin Calel,6833040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,,0.0,0.0,0.0,0.0,11.0,0.0,0.0
Buenos Aires,Tres Arroyos,Micaela Cascallares  (Est. Cascallares),6833050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,176.0,177.0,,0.0,0.0,0.0,40.0,136.0,1.0,0.0
Buenos Aires,Tres Arroyos,Orense,6833060,0.0,0.0,1.0,246.0,407.0,0.0,0.0,146.0,800.0,,0.0,0.0,3.0,554.0,208.0,34.0,0.0
Buenos Aires,Tres Arroyos,Reta,6833070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,,0.0,0.0,141.0,82.0,1.0,0.0,0.0
